facility,phone,address,url
ACCESS Kedzie Family Health Center,(800) 836-7633,3229-3243 W 47th Pl Chicago* IL 60632,https://www.achn.net
Howard Brown Health 63rd St,(773) 388-1600,641 W 63rd St Chicago* IL 60621,https://howardbrown.org
Norwegian American Hospital,(773) 292-8363,1044 N Francisco Ave Chicago* IL 60622,https://www.nahospital.org/
Aayu Clinics - Lakeview,(773) 227-3669,1645 A W School St Chicago* IL 60657,https://www.aayuclinics.com/services-1
Michigan Avenue Primary Care,(312) 994-3000,180 N Michigan Ave #1720 Chicago* IL 60601,https://www.michiganavenueprimarycare.com/covid-19/
PrimeCare - Northwest Health Center,(312) 633-5841,1649 N Pulaski Rd Chicago* IL 60639,https://primecarehealth.org/northwest-health-center/
ACCESS Auburn-Gresham Family Health Center (Covid19 Testing Site),(800) 836-7633,8234 S Ashland Ave Chicago* IL 60620,https://www.achn.net/about-access/2020-coronavirus-covid-19-pandemic/
Saint Anthony Hospital,(773) 484-4000,2875 W 19th St Chicago* IL 60623,https://sahchicago.org/hospital-services/infection-prevention
ACCESS Cabrini Family Health Center,(800) 836-7633,3450 S Archer Ave Chicago* IL 60608,https://www.achn.net
Friend Health - Ashland,(773) 702-0660,4802 S Ashland Ave Chicago* IL 60609,https://friendfhc.org/covid.html
CVS Health COVID-19 Drive Thru Testing Site,,3944 N Western Ave Chicago* IL 60618,https://www.cvs.com/minuteclinic/covid-19-testing
ACCESS Warren Family Health Center,(800) 836-7633,2409 W Warren Blvd Chicago* IL 60612,https://www.achn.net
Christian Community Health Center,(773) 233-4100,9718 S Halsted St Chicago* IL 60628,https://cchc-online.org/
ACCESS Westside Family Health Center,(800) 836-7633,3752 W 16th St Chicago* IL 60623,https://www.achn.net
Erie Westside Health Center (Entrance on Ridgeway Ave),(312) 666-3494,646 N Lawndale Ave Chicago* IL 60624,https://www.eriefamilyhealth.org/
ACCESS Grand Boulevard Health and Specialty Center,(800) 836-7633,5401 S Wentworth Ave Chicago* IL 60609,https://www.achn.net
Physicians Immediate Care - Chicago - Lincoln Park,(312) 767-0400,933 W Diversey Pkwy Chicago* IL 60586,https://physiciansimmediatecare.com/covid-19-testing-locations/
U Chicago Medicine,(888) 824-0200,5841 S Maryland Ave Chicago* IL 60637,https://www.uchicagomedicine.org/patients-visitors/patient-information/coronavirus-information/coronavirus-patient-education
ACCESS Plaza Family Health Center,(800) 836-7633,2533 W Cermak Rd Chicago* IL 60608,https://www.achn.net
Erie Division Street Health Center,(312) 666-3494,2418 W Division St Chicago* IL 60622,https://www.eriefamilyhealth.org/
Mile Square Health Center - South Shore,(866) 600-2273,7037 S Stony Island Ave Chicago* IL 60649,https://hospital.uillinois.edu/news/3-covid-19-testing-triage-clinics
Friend Health - Auburn Gresham,(773) 702-0660,1156 W 79th St Chicago* IL 60620,https://friendfhc.org/covid.html
John H. Stroger* Jr. Cook County Hospital,(312) 864-6000,1969 W Ogden Ave Chicago* IL 60612,https://cookcountyhealth.org/locations/john-h-stroger-jr-hospital-of-cook-county/
Alliance Immediate & Primary Care,(773) 754-3500,4332 N Elston Ave Chicago* IL 60641,https://alliancedoc.com
Physicians Immediate Care - Chicago - Bucktown,(312) 767-0400,1702 N Milwaukee Ave Chicago* IL 60647,https://physiciansimmediatecare.com/covid-19-testing-locations/
Six Corners Sameday Surgery* L.L.C.,(773) 545-6900,4211 N Cicero Ave #400 Chicago* IL 60641,http://www.bjc-aces.com
Lurie Children's Deming Drive-Through Testing,(312) 227-5300,467 W Deming St Chicago* IL 60614,https://www.luriechildrens.org/en/news-stories/novel-coronavirus-covid-19-resources/
Friend Health - Western,(773) 702-0660,5843 S Western Ave Chicago* IL 60636,https://friendfhc.org/covid.html
Midwest Express Clinic - Mt. Greenwood,(888) 372-2101,3258 W 111th St Chicago* IL 60655,https://midwestexpressclinic.com/services/illness-treatment/coronavirus/
Prism Health Lab,(800) 325-1812,2322 W Peterson Ave Chicago* IL 60659,http://www.prismhealthlab.com
Aayu Clinics - Wicker Park,(773) 227-3669,1601 W Division St Chicago* IL 60622,https://www.aayuclinics.com/services-1
IDPH Chicago Foreman Mills Drive-Through,(800) 889-3931,122 W 79th St Chicago* IL 60620,https://www.dph.illinois.gov/testing
ACCESS Austin Family Health Center,(800) 836-7633,4909 W Division St #508 Chicago* IL 60651,https://www.achn.net
Friend Health - Pulaski,(773) 702-0660,5635 S Pulaski Rd Chicago* IL 60629,https://friendfhc.org/covid.html
Provident Hospital Outpatient Pharmacy,(312) 572-2964,500 E 51st St #2008 Chicago* IL 60615,https://cookcountyhealth.org/locations/provident-hospital-outpatient-pharmacy/
Lurie Children's Hospital,(312) 227-5300,225 E Chicago Ave* IL 60611,https://www.luriechildrens.org/en/news-stories/novel-coronavirus-covid-19-resources/
One Medical Chicago - West Loop,(888) 663-6331,218 b N Elizabeth St Chicago* IL 60607,https://onemedical.com/covid-19-testing-locations/chi/
Alivio Medical Center - Pilsen,(773) 254-1400,966 W 21st St Chicago* IL 60608,https://www.aliviomedicalcenter.org/content/covid-19-testing
Clear Wellness Group,(312) 535-5770,1605 S Michigan Ave #1 Chicago* IL 60616,http://www.clearwellnessgroup.com
Howard Brown Health Clark,(773) 388-1600,6500 N Clark St Chicago* IL 60626,https://howardbrown.org
ACCESS Rogers Park Family Health Center,(800) 836-7633,1555 W Howard St Chicago* IL 60626,https://www.achn.net
Aunt Martha's Health and Wellness* Inc.,(877) 692-8686,5001 S Michigan Ave Chicago* IL 60615,http://auntmarthas.org
Mile Square Health Center - Englewood,(312) 996-2000,641 W  63rd St Chicago* IL 60621,https://hospital.uillinois.edu/patients-and-visitors/mile-square-federally-qualified-health-center/locations/englewood
Heartland Health Center - Edgewater,(773) 751-7800,1300 W Devon Ave Chicago* IL 60660,https://www.heartlandhealthcenters.org/covid-19-testing-free-no-insurance/
Near North Health Service Corporation: Komed Holman Health Center,(312) 337-1070,4259 S Berkeley Ave Chicago* IL 60653,https://www.nearnorthhealth.org/
ACCESS Brickyard Family Health Center,(800) 836-7633,6020 W. Diversey Ave.* Chicago* IL 60639,https://www.achn.net
Esperanza Health Center - Brighton Park,(773) 584-6200,4700 S California Ave Chicago* IL 60632,https://www.esperanzachicago.org/article/covid-19-testing-esperanza
Physicians Immediate Care - Chicago - Lincoln & Peterson,(312) 767-0400,5961 N Lincoln Ave #102 Chicago* IL 60659,https://physiciansimmediatecare.com/covid-19-testing-locations/
TCA Health* Inc.,(773) 995-6300,8425 S Cottage Grove Ave Chicago* IL 60619,http://tcahealth.org
Innovative Express Care,(773) 270-5600,2400 N Ashland Ave Chicago* IL 60614,https://innovativecorona.com/
Near North Health Service Corporation: Cottage View Health Center,(773) 548-1170,4829 S Cottage Grove Ave Chicago* IL 60615,https://www.nearnorthhealth.org/
ACCESS Doctors Medical Center,(800) 836-7633,6240 W 55th St Chicago* Il 60638,https://www.achn.net
University of Illinois Hospital Emergency Department,(866) 600-2273,1740 W Taylor St Chicago* IL 60608,https://hospital.uillinois.edu/primary-and-specialty-care/emergency-medicine
CVS Health COVID-19 Drive Thru Testing Site,,3156 W 103rd St Chicago* IL 60655,https://www.cvs.com/minuteclinic/covid-19-testing
Howard Brown Health Sheridan,(773) 388-1600,4025 N Sheridan Rd Chicago* IL 60613,https://howardbrown.org
University of Chicago Hospital - Hyde Park,(773) 702-2800,901 E 58th St Chicago* IL 60637,https://www.uchicagomedicine.org/patients-visitors/patient-information/coronavirus-information
Pharmacy One Plus,(773) 217-5065,4751 N  Kedzie Ave 2nd Floor Chicago* IL 60625,
ACCESS Ashland Family Health Center (Covid19 Testing Center),(800) 836-7633,5147 S Ashland Ave Chicago* IL 60609,https://www.achn.net/about-access/2020-coronavirus-covid-19-pandemic/
Aunt Martha's Community Health Center,(877) 692-8686,3528 E 118th St Chicago* IL 60617,http://auntmarthas.org
Beloved Community Family Wellness Center,(773) 651-3629,6821 S Halsted St Chicago* IL 60621,https://www.bcfwc.org
Dr. Jorge Prieto Math and Science Academy,,2231 N Central Ave Chicago* IL 60639,https://chicago.curativeinc.com/welcome
Heartland Health Center - Albany Park,(773) 702-0660,3737 W Lawrence Ave Chicago* IL 60625,https://www.heartlandhealthcenters.org/covid-19-testing-free-no-insurance/
ACCESS Located at Holy Cross,(800) 836-7633,2701 W 68th St* 3-South Chicago* IL 60629,https://www.achn.net
ACCESS Servicios Medicos La Villita,(800) 836-7633,3303 W 26th St Chicago* IL 60623,https://www.achn.net
CVS Health COVID-19 Drive Thru Testing Site,,8639 S Cicero Ave Chicago IL 60652,https://www.cvs.com/minuteclinic/covid-19-testing
Friend Health - Mobile Unit* South Shore/Bouchet Elementary (Thu and Fri),(773) 702-0660,7355 S Jeffery Blvd Chicago* IL 60649,https://friendfhc.org/covid.html
Roseland Community Hospital,(773) 995-3000,45 W 111th St Chicago* IL 60628,http://www.roselandhospital.org/
AHS Family Health Center,(800) 597-5077,2501 W Peterson Ave Chicago* IL 60659,http://www.ahsfhc.org
